source_center,destination_center,route_type,time_of_day,median_segment_factor,median_segment_actual_time,median_segment_osrm_time,median_segment_osrm_distance,trip_count,source_name,destination_name
IND160002AAC,IND144001AAB,FTL,Afternoon,2.0,35.0,16.0,23.3549,7,Chandigarh_Mehmdpur_H (Punjab),Jalandhar_DPC (Punjab)
IND160002AAC,IND144001AAB,FTL,Morning,2.0,33.0,16.0,23.6465,83,Chandigarh_Mehmdpur_H (Punjab),Jalandhar_DPC (Punjab)
IND160002AAC,IND147001AAB,FTL,Evening,2.1783216783216783,36.5,17.0,22.8667,6,Chandigarh_Mehmdpur_H (Punjab),Patiala (Punjab)
IND160002AAC,IND147001AAD,FTL,Evening,1.9166666666666665,37.5,18.5,25.62715,14,Chandigarh_Mehmdpur_H (Punjab),Patiala_GainMrkt_L (Punjab)
IND160002AAC,IND147101AAA,FTL,Evening,2.2896825396825395,45.0,20.5,24.92805,6,Chandigarh_Mehmdpur_H (Punjab),Samana_PODPP_D (Punjab)
IND160002AAC,IND147101AAA,FTL,Night,2.1176470588235294,38.0,20.0,24.7495,21,Chandigarh_Mehmdpur_H (Punjab),Samana_PODPP_D (Punjab)
IND160002AAC,IND147105AAA,FTL,Night,1.7655677655677655,40.0,21.0,24.464199999999998,12,Chandigarh_Mehmdpur_H (Punjab),Patran_MheshNGR_D (Punjab)
IND160002AAC,IND151001AAA,FTL,Morning,1.5333333333333334,29.0,20.0,24.866,105,Chandigarh_Mehmdpur_H (Punjab),Bhatinda_DPC (Punjab)
IND160002AAC,IND151001AAA,FTL,Night,1.5647058823529412,31.0,20.5,24.8851,8,Chandigarh_Mehmdpur_H (Punjab),Bhatinda_DPC (Punjab)
IND160002AAC,IND160003AAA,Carting,Morning,1.5625,14.5,8.0,10.20065,4,Chandigarh_Mehmdpur_H (Punjab),Chandigarh (Chandigarh)
IND160002AAC,IND160055AAA,Carting,Morning,1.0,11.0,11.0,8.895700000000001,63,Chandigarh_Mehmdpur_H (Punjab),Chandigarh_Mohali (Chandigarh)
IND160002AAC,IND160102AAC,Carting,Evening,1.5,14.0,10.0,9.8994,41,Chandigarh_Mehmdpur_H (Punjab),Chandigarh_Raiprvlg_L (Chandigarh)
IND160002AAC,IND160102AAC,Carting,Night,1.7321428571428572,14.0,10.0,9.8139,56,Chandigarh_Mehmdpur_H (Punjab),Chandigarh_Raiprvlg_L (Chandigarh)
IND160002AAC,IND173212AAA,FTL,Evening,1.6,39.0,25.0,24.6696,53,Chandigarh_Mehmdpur_H (Punjab),Solan_MohanPrk_D (Himachal Pradesh)
IND160002AAC,IND173212AAA,FTL,Night,2.2,55.0,25.0,23.9859,3,Chandigarh_Mehmdpur_H (Punjab),Solan_MohanPrk_D (Himachal Pradesh)
IND160002AAC,IND174001AAA,FTL,Evening,1.4691666666666667,40.0,27.0,29.3138,76,Chandigarh_Mehmdpur_H (Punjab),BilaspurHP_Indsarea_D (Himachal Pradesh)
IND160002AAC,IND174103AAA,FTL,Evening,1.2666666666666666,32.0,20.0,25.1128,3,Chandigarh_Mehmdpur_H (Punjab),Baddi_ByePass_D (Himachal Pradesh)
IND160002AAC,IND174307AAA,FTL,Evening,1.1578947368421053,36.0,24.0,26.134400000000003,7,Chandigarh_Mehmdpur_H (Punjab),Bangana_Bhaleti_D (Himachal Pradesh)
IND160002AAC,IND174307AAA,FTL,Night,1.2258064516129032,32.0,25.0,26.6723,91,Chandigarh_Mehmdpur_H (Punjab),Bangana_Bhaleti_D (Himachal Pradesh)
IND160002AAC,IND176041AAA,FTL,Night,1.131766381766382,28.0,25.5,25.5235,14,Chandigarh_Mehmdpur_H (Punjab),Bhota_BpassDPP_D (Himachal Pradesh)
IND160002AAC,IND181152AAA,FTL,Morning,1.4541666666666666,28.0,20.0,23.52715,30,Chandigarh_Mehmdpur_H (Punjab),Jammu_TrnptNgr_L (Jammu & Kashmir)
IND160002AAC,IND184104AAA,FTL,Morning,1.5,29.0,21.0,23.704,72,Chandigarh_Mehmdpur_H (Punjab),Kathua_BOB_D (Jammu & Kashmir)
IND160002AAC,IND421302AAG,FTL,Morning,1.6842105263157894,34.0,19.0,27.0122,59,Chandigarh_Mehmdpur_H (Punjab),Bhiwandi_Mankoli_HB (Maharashtra)
