node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND441904AAB,0.0,0,1,0.0,36.0,1.6,Bhandara_RjnaiDPP_D (Maharashtra),0.0,0.0041598340985489245,-0.007880129784260202,-0.0005307181882991554,0.0076129947783900725,0.004166851605371318,-0.011499033621157574,-0.0031111989067529873,0.014971296015906313,-0.002207160113411103,-0.00795285783096372,-5.647964185791867e-05,-0.0017508551098535993,9.075351045268726e-17,-5.562819631607126e-17,2.3050558851000714e-16,-2.3245557536084016e-16
IND441912AAA,3.648729512383788e-07,1,1,0.0,110.0,2.25,Bhandara_KaremDPP_D (Maharashtra),4.013602463622167e-05,0.004159834098548923,-0.00788012978426023,-0.0005307181882991509,0.007612994778390087,0.004166851605371314,-0.011499033621157551,-0.0031111989067529556,0.01497129601590633,-0.0022071601134111066,-0.007952857830963755,-5.647964185794454e-05,-0.0017508551098536055,9.551829212037983e-17,-5.1167110833813143e-17,2.2576244394087697e-16,-2.4710509681297234e-16
IND781022AAA,0.0,1,1,0.0,24.0,1.5,Guwahati_Sixmile (Assam),0.0,-0.001633901475069632,-0.0022015648276482204,0.001474807863769309,-0.0021592702293547076,-0.0010393942060210309,0.0011693261878977668,0.0005908324820179549,0.0021835098117715763,0.0010899756375814804,0.0002003729985791751,0.0004150750573743878,-0.001094284225275499,-0.004157146787641005,-0.01581176532502511,0.019282338071716736,0.004850787145828203
IND390022AAA,0.0053408447642816,5,4,0.1818181818181818,263.0,1.997356501523168,Vadodara_Karelibaug_DPC (Gujarat),1.4046421730060636,-0.001633901475070106,-0.0022015648276484208,0.0014748078637694343,-0.002159270229354752,-0.0010393942060212763,0.0011693261878976294,0.0005908324820179386,0.002183509811771989,0.001089975637581293,0.00020037299858011577,0.00041507505737614273,-0.0010942842252771516,-0.001467520031748746,0.0009060738476658395,-0.002521488039307186,-0.003153593380889326
IND411014AAA,0.001616387173986,3,3,0.0,72.0,3.043956043956044,PNQ Vadgaon Sheri DPC (Maharashtra),0.1163798765269933,-0.0016339014750702875,-0.0022015648276478357,0.0014748078637691633,-0.002159270229354865,-0.0010393942060210044,0.0011693261878977482,0.0005908324820180023,0.002183509811771992,0.0010899756375813221,0.000200372998579521,0.0004150750573755817,-0.001094284225276824,-0.0002645737036549826,0.0031543901490657103,-0.0004939116880465481,-0.003981283491874441
IND713205AAB,0.0144289008567216,7,11,0.0268456375838926,166.0,2.209380724516612,Durgapur_Central_I_1 (West Bengal),2.3951975422158007,-0.001633901475070223,-0.0022015648276480842,0.0014748078637692999,-0.0021592702293547115,-0.0010393942060210586,0.0011693261878977824,0.0005908324820181045,0.0021835098117719697,0.001089975637583248,0.00020037299857957362,0.00041507505737745884,-0.0010942842252734783,-0.002695453555949763,-0.005768971114358786,0.008672553445617036,-0.0014003431386368007
IND201304AAA,0.0,2,1,0.5,29.0,1.84375,Noida_Sec-83_DC (Uttar Pradesh),0.0,-0.0016339014750705301,-0.002201564827648125,0.0014748078637689943,-0.0021592702293551,-0.001039394206020884,0.0011693261878978451,0.0005908324820181325,0.0021835098117721666,0.001089975637584622,0.00020037299857828417,0.00041507505737467076,-0.0010942842252778411,-0.0029778754955239375,-0.0019945183583762725,-0.005396357534547338,-0.0013737392889012284
IND591126AAA,0.0,0,1,0.0,2.0,1.3653846153846154,Saundatti_ShanthiS_D (Karnataka),0.0,-0.0016339014750704033,-0.002201564827647624,0.0014748078637690648,-0.0021592702293549834,-0.0010393942060208925,0.0011693261878979113,0.0005908324820182163,0.0021835098117720365,0.0010899756375811942,0.00020037299857929798,0.0004150750573755064,-0.0010942842252764744,0.0007403706287996577,0.0043802483073296814,0.00027914206581462986,-0.0036015998043486975
IND680104AAA,0.0004061035947283,1,1,0.0,21.0,1.4968805704099823,Guruvayoor_ManhrBld_D (Kerala),0.0085281754892946,-0.0016339014750702192,-0.002201564827648126,0.0014748078637692708,-0.0021592702293546906,-0.0010393942060210092,0.0011693261878977452,0.0005908324820182962,0.002183509811772119,0.00108997563758207,0.0002003729985777173,0.00041507505737438865,-0.001094284225279433,0.0032831323631104924,0.027969626672134963,0.01325437496825397,0.011365166642144013
IND000000AFG,0.0,0,2,0.0,8.0,2.0008906365530685,Tirur_PmthuKlm_D (Kerala),0.0,-0.0016339014750706782,-0.0022015648276475066,0.0014748078637699998,-0.002159270229355207,-0.0010393942060211222,0.0011693261878991115,0.0005908324820184558,0.002183509811770452,0.0010899756375832524,0.0002003729985778748,0.0004150750573741632,-0.0010942842252769016,0.0037753055087750304,0.035038540714054656,0.016911921742316486,0.015112665361041536
IND673632AAA,0.0024373513142723,2,4,0.0333333333333333,36.0,1.585714285714286,Kozhikode_Central_H_4 (Kerala),0.0877446473138053,-0.001633901475070586,-0.002201564827647556,0.001474807863769942,-0.0021592702293551694,-0.0010393942060211196,0.0011693261878990026,0.0005908324820184421,0.0021835098117705272,0.0010899756375831256,0.00020037299857787868,0.00041507505737418016,-0.0010942842252770586,0.003725413966202135,0.03434138313838956,0.01655325494849883,0.014749771482560452
IND410206AAB,0.0,1,1,0.0,72.0,2.45970695970696,Mumbai_Panvel_D (Maharashtra),0.0,-0.00163390147507014,-0.0022015648276479225,0.0014748078637692463,-0.0021592702293547453,-0.0010393942060210448,0.0011693261878977592,0.0005908324820179538,0.002183509811771927,0.001089975637581653,0.0002003729985797252,0.0004150750573754769,-0.0010942842252772008,-0.001246386303147897,0.0014007760614915233,-0.0009682481825845842,-0.004134659168927583
IND303108AAB,0.0,0,1,0.0,18.0,1.4722222222222223,Kotputli_LXngrDPP_D (Rajasthan),0.0,-0.001633901475070322,-0.0022015648276480096,0.0014748078637692253,-0.002159270229354697,-0.0010393942060209784,0.0011693261878978091,0.0005908324820182099,0.0021835098117720148,0.001089975637579563,0.0002003729985798532,0.0004150750573765197,-0.0010942842252758393,-0.0013150459779787712,0.0015537118595752618,-0.003440301707420174,-0.0038588278154080263
IND132103AAB,0.0,1,2,0.5,22.0,1.7214985994397758,Panipat_PC (Haryana),0.0,-0.0016339014750702658,-0.002201564827647677,0.0014748078637695271,-0.0021592702293542062,-0.0010393942060210925,0.0011693261878977738,0.0005908324820180398,0.0021835098117720087,0.001089975637581934,0.000200372998580514,0.00041507505737850526,-0.0010942842252758427,-0.0024973378048816124,-0.0008458279559800004,-0.004459167215275193,-0.0030241272844177386
IND131021AAA,0.0,0,1,0.0,111.0,1.5188988095238094,Sonipat_AmzonDev_V (Haryana),0.0,0.14033119094466154,0.07446649059960204,-0.07534585202771309,-0.07705161169112383,-0.039640375084675265,0.01853946145650199,-0.005378821408894258,0.15665424569938233,-0.006877519210829873,0.015215684223153223,0.018568896076819753,0.030797043972304136,-8.382206385934035e-16,-1.2455923526632902e-15,-3.8421525498637715e-15,1.783953038711361e-15
