node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score
IND854326AAB,0.018994045273435792,8,8,0.1059322033898305,1053.0,2.446265319146511,Purnia_Central_H_2 (Bihar),20.00072967292789
IND852131AAA,0.00020250448793730024,2,2,0.5,18.0,2.9358934971838195,Supaul_SadrHsptl_D (Bihar),0.003645080782871404
IND852201AAA,0.00040318461111840865,3,3,0.3333333333333333,24.0,3.416224533106961,Saharsa_Gangjala_D (Bihar),0.009676430666841807
IND852113AAA,0.00020250448793730024,2,2,0.5,24.0,3.270588235294118,Madhepura_Krishnpr_D (Bihar),0.004860107710495206
IND852139AAB,0.0004024548652159319,2,1,0.3333333333333333,84.0,2.280048076923077,Triveninganj_Central_D_1 (Bihar),0.03380620867813828
IND530012AAA,0.017798782297337338,10,11,0.029556650246305417,711.0,1.9364322931969993,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),12.654934213406847
IND531001AAA,0.0004053738488258389,2,2,0.5,26.0,5.255681818181818,Anakapalle_Kothuru_D (Andhra Pradesh),0.010539720069471811
IND531116AAA,0.0,1,2,1.0,33.0,2.0,Narsiptnm_Wardno8_D (Andhra Pradesh),0.0
IND834002AAB,0.00790874284240896,5,7,0.1171875,1074.0,2.3068540909753104,Ranchi_Hub (Jharkhand),8.493989812747223
IND829122AAA,0.0008103828247004393,1,1,0.0,42.0,1.6253869969040249,Ramgarh_HotelPrk_D (Jharkhand),0.034036078637418456
IND825301AAA,0.000808193586993009,1,1,0.0,42.0,2.653246753246753,Hazaribag_BodomBzr_DC (Jharkhand),0.03394413065370638
IND825409AAA,0.000806004349285579,1,1,0.0,614.0,1.58359133126935,JhumriTlya_RadhaCpx_D (Jharkhand),0.4948866704613455
IND305901AAA,0.0012106484522089408,1,2,0.16666666666666666,23.0,1.7234423374613002,Beawar_DC (Rajasthan),0.027844914400805637
IND342602AAC,0.0008103828247004393,2,2,0.16666666666666666,14.0,1.9923491822579045,Bilara_Central_DPP_2 (Rajasthan),0.011345359545806151
IND305624AAA,0.0028208327860239067,3,1,0.0,24.0,1.3127705627705626,Bijainagar_Central_DPP_1 (Rajasthan),0.06769998686457376
