node_id,node_name
IND572201AAB,Tiptur_YTRd_D (Karnataka)
IND573103AAA,Arsikere_HsnRdDPP_D (Karnataka)
IND577116AAA,Unknown_Source
IND577132AAD,Mudigere_HesglDPP_D (Karnataka)
IND573134AAB,Sakleshpur_RgvdrDPP_D (Karnataka)
IND421302AAR,Mumbai_East_I_21 (Maharashtra)
IND122002AAD,Gurgaon_Central_D_15 (Haryana)
IND122503AAA,Pataudi_DC (Haryana)
IND637301AAA,Sankari_Trchngrd_D (Tamil Nadu)
IND742149AAA,Murshidabad_Sirjudol_D (West Bengal)
IND742148AAA,Lalgola_KrsprDPP_D (West Bengal)
IND742225AAA,Ragunthgnj_GopalDPP_D (West Bengal)
IND742223AAA,Jangipur_Central_D_1 (West Bengal)
IND742226AAA,Sagardighi_UtBzrDPP_D (West Bengal)
IND623407AAA,Thiruvadanai_RamnadRD_D (Tamil Nadu)
IND623315AAB,Oriyur_Vllyaprm_D (Tamil Nadu)
IND614620AAA,Manamelkudi_TmpleSrt_D (Tamil Nadu)
IND580028AAA,Hubli_Adargchi_IP (Karnataka)
IND591123AAC,Ramdurg_GndhiNGR_D (Karnataka)
IND587103AAB,Bagalkot_Sector4_D (Karnataka)
IND582209AAA,Rona_GadagRD_D (Karnataka)
IND582101AAB,Gadag_Cdosclrd_D (Karnataka)
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab)
IND335001AAA,Ganga Nagar_DC (Rajasthan)
IND201307AAA,Noida_Chukhndi_D (Uttar Pradesh)
IND500080AAB,Hyderabad_Chikdply_I (Telangana)
IND845418AAB,Dhaka_PchpkrRD_D (Bihar)
IND845438AAA,Bettiah_BypassRd_D (Bihar)
IND845455AAB,Narktiganj_Central_DPP_2 (Bihar)
IND641062AAD,Coimbatore_Karayam_H (Tamil Nadu)
IND642126AAA,Udumalpet_Artclgrd_D (Tamil Nadu)
IND642001AAA,Pollachi_Venkatsa_DC (Tamil Nadu)
IND184104AAA,Kathua_BOB_D (Jammu & Kashmir)
IND181152AAA,Jammu_TrnptNgr_L (Jammu & Kashmir)
IND184121AAA,Samba_Wardno13_D (Jammu & Kashmir)
IND110043AAA,Delhi_Nangli_IP (Delhi)
IND821307AAA,DehriSone_Dilliyan_D (Bihar)
IND824101AAA,AurngbadBR_Mahindra_D (Bihar)
IND754211AAA,Kendrpara_Kapleswr_D (Orissa)
IND754202AAA,Cuttack_SliprDPP_DC (Orissa)
IND683565AAA,Kunnathund_Pringla_D (Kerala)
IND000000ACT,Delhi_Gateway_HB (Delhi)
IND110037AAK,Delhi_Kapshera_L (Delhi)
IND636016AAA,Salem (Tamil Nadu)
IND637211AAA,Tirchngode_Mhdhvpur_D (Tamil Nadu)
IND142001AAB,Moga_DPC (Punjab)
IND152026AAA,Muktsar_DPC (Punjab)
IND122001AAA,GGN_DPC (Haryana)
IND627005AAA,Tirunelveli_VdkkuSrt_I (Tamil Nadu)
IND627117AAA,Vallior_Radhaprm_D (Tamil Nadu)
IND629179AAA,Marthandam_Nallur_D (Tamil Nadu)
IND700053AAA,CCU_New Alipore_DPC (West Bengal)
IND273014AAB,Gorakhpur_Matriprm_IP (Uttar Pradesh)
IND277211AAA,Sahatwar_PnchmDPP_D (Uttar Pradesh)
IND277201AAA,Bariya_BgnprDPP_D (Uttar Pradesh)
IND221706AAA,Ratanpura_MubarDPP_D (Uttar Pradesh)
IND244412AAA,Chandausi_Ganesh_D (Uttar Pradesh)
IND147001AAD,Patiala_GainMrkt_L (Punjab)
IND148023AAA,Malerkotla_DC (Punjab)
IND148028AAA,Sunam_DC (Punjab)
IND147001AAB,Patiala (Punjab)
IND244001AAA,Moradabad_DC (Uttar Pradesh)
IND263153AAB,Rudrapur_UdhamNgr_H (Uttarakhand)
IND786001AAB,Dibrugarh_Bokule_H (Assam)
IND786171AAA,Digboi_JyotiNgr_D (Assam)
IND786181AAC,Margherita_CivilHPL_D (Assam)
IND461111AAA,Itarsi_DivrsnRd_D (Madhya Pradesh)
IND460001AAA,Betul_PatelWrd_D (Madhya Pradesh)
IND480334AAA,Pandhurna_Mataward_D (Madhya Pradesh)
IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh)
IND509103AAB,Wanaparthy_VallaDPP_D (Telangana)
IND444602AAA,Amravati_DC (Maharashtra)
IND444005AAB,Akola_Gaurkshn_I (Maharashtra)
IND201007AAB,Ghaziabad_MohanNgr_C (Uttar Pradesh)
IND416012AAA,Kolhapur_Shivaji_I (Maharashtra)
IND591237AAB,Nipani_AkkolRD_D (Karnataka)
IND591201AAA,Chikodi_IndraNgr_D (Karnataka)
IND591304AAA,Athani_VikrmMah_D (Karnataka)
IND586101AAB,Bijapur_Central_D_2 (Karnataka)
IND121004AAB,FBD_Balabhgarh_DPC (Haryana)
IND121102AAA,Palwal (Haryana)
IND487001AAB,Narsinghpur_KndliDPP_D (Madhya Pradesh)
IND487551AAA,Gadarwara_MPward_D (Madhya Pradesh)
IND134102AAA,Kalka_Pinjore_DC (Haryana)
IND174101AAB,Nalagarh_Central_DPP_2 (Himachal Pradesh)
IND785001AAA,Jorhat_RicMilRd_D (Assam)
